Topic,Count,Name,Representation,Representative_Docs
12,84,12_stocks_profitable_financials_heavy,"['stocks', 'profitable', 'financials', 'heavy', 'risky', 'unpopular', 'concern', 'cap', 'large', 'short']","['3 Profitable Stocks That Concern Us', '3 Profitable Stocks We Find Risky', '3 Profitable Stocks That Fall Short']"
13,79,13_yen_japan_election_boj,"['yen', 'japan', 'election', 'boj', 'ufg', 'mitsubishi', 'japanese', 'hike', 'says', 'bonds']","['__TICKER__ Says Weak Yen Keeps Bank of Japan Rate Hikes, Japanese Fiscal Risks in Focus', 'Bank of Japan Rate Hike Signal Reinforces Yen Rebound, Says Mitsubishi UFG', 'Bank of Japan Rate Hike Expectations Continue Supporting The Yen, Says Mitsubishi UFG']"
14,78,14_bullish_bearish_wall_street,"['bullish', 'bearish', 'wall', 'street', 'analysts', 'predicting', 'sink', 'stock', 'ratings', 'climb']","['Are Wall Street Analysts Bullish on __COMPANY__ Stock?', '__COMPANY__ Stock: Is Wall Street Bullish or Bearish?', 'Is Wall Street Bullish or Bearish on __COMPANY__ Stock?']"
15,75,15_afternoon_sector_update_financial,"['afternoon', 'sector', 'update', 'financial', 'late', 'stocks', 'advance', 'monday', 'friday', 'thursday']","['Sector Update: Financial Stocks Lower in Afternoon Trading', 'Sector Update: Financial Stocks Rise in Afternoon Trading', 'Sector Update: Financial Stocks Higher in Afternoon Trading']"
16,73,16_today_nio_stock_shares,"['today', 'nio', 'stock', 'shares', 'trading', 'soared', 'monday', 'trades', 'falling', 'fluence']","['Why __COMPANY__ __TICKER__ Stock Is Trading Lower Today', 'Why __COMPANY__ __TICKER__ Stock Is Trading Up Today', 'Why __COMPANY__ __TICKER__ Stock Is Down Today']"
17,72,17_china_yuan_stimulus_chinese,"['china', 'yuan', 'stimulus', 'chinese', 'pboc', 'beijing', 'consumer', 'deflation', 'trade', 'unionpay']","['Wall Street Sees Higher China Growth, Less Stimulus on US Truce', 'Global shares are mostly higher as investors focus on US trade talks with China', 'Global Funds Turn More Bullish on China as Stocks and Yuan Rally']"
18,69,18_mitsubishi_ufg_sterling_england,"['mitsubishi', 'ufg', 'sterling', 'england', 'central', 'policy', 'says', 'boe', 'zealand', 'political']","['Mitsubishi UFG on The Outlook for The Canadian Dollar', ""Mitsubishi UFG Comments on Sterling Ahead of Bank of England's Thursday Policy Decision"", 'Mitsubishi UFG Says Bank of England Policy Expectations, U.K. Political Risks in Focus for Sterling']"
19,58,19_valuation_assessing_recent_share,"['valuation', 'assessing', 'recent', 'share', 'pullback', 'returns', 'price', 'check', 'strong', 'shareholder']","['Assessing __TICKER__ ( __TICKER__ )’s Valuation After Strong Long-Term Returns and Recent Share Price Pullback', 'Assessing __COMPANY__ __TICKER__ Valuation After Recent Share Price Pullback', 'Assessing __COMPANY__ ( __TICKER__ ) Valuation After Strong Recent Share Price Returns']"
20,58,20_comments_euro_zloty_czech,"['comments', 'euro', 'zloty', 'czech', 'hungary', 'poland', 'republic', 'forint', 'koruna', 'franc']","[""__TICKER__ Comments on Euro, Sterling, Hungary's Forint, Poland's Zloty, Czech Republic's Koruna"", ""__TICKER__ Comments on Euro, Sterling, Poland's Zloty, Hungary's Forint, Czech Republic's Koruna"", ""__TICKER__ Comments on Euro, Swiss Franc, Hungary's Forint, Poland's Zloty, Czech Republic's Koruna""]"
21,58,21_dividend_tsx_stocks_consider,"['dividend', 'tsx', 'stocks', 'consider', 'watch', 'yield', 'yielding', 'august', 'september', 'reliable']","['3 Top TSX Dividend Stocks To Consider With At Least 3.3% Yield', '3 TSX Dividend Stocks To Consider With Up To 4.7% Yield', 'Top TSX Dividend Stocks To Watch In May 2025']"
22,57,22_equities_receipts_depositary_traded,"['equities', 'receipts', 'depositary', 'traded', 'european', 'american', 'trading', 'friday', 'thursday', 'tuesday']","['European Equities Traded in the US as American Depositary Receipts Higher in Tuesday Trading', 'European Equities Traded in the US as American Depositary Receipts Higher in Thursday Trading', 'European Equities Traded in the US as American Depositary Receipts Lower in Friday Trading']"
23,56,23_profit_2028_net_rises,"['profit', '2028', 'net', 'rises', 'revenue', 'income', 'growth', 'higher', 'digit', '2026']","['__COMPANY__ Posts Higher Profit as Fee Revenue Rises', ""__COMPANY__ 's profit rises on higher interest income, fee revenue growth"", '__COMPANY__ Profit Rises On Net Interest Income Growth']"
24,55,24_card_credit_trump_cap,"['card', 'credit', 'trump', 'cap', 'cards', 'rate', 'rates', '10', 'mastercard', 'banks']","['2 Stocks That Will Benefit From Trump’s Call to Cap Credit-Card Interest Rates', 'Major credit card stocks slide after Trump comments on credit card rates', 'Financial Stocks Fall After Trump Calls for Credit-Card Rate Cap']"
25,53,25_press_sanofi_release_disease,"['press', 'sanofi', 'release', 'disease', 'approved', 'earns', 'designation', 'eu', 'type', 'orphan']","['Press Release: Sanofi’s venglustat earns Breakthrough Therapy designation in the US for type 3 Gaucher disease', 'Press Release: Sanofi’s rilzabrutinib earns orphan drug designation in Japan for IgG4-related disease', 'Press Release: Sanofi’s rilzabrutinib earns orphan designation in the EU for IgG4-related disease']"
26,50,26_loan_debt_chatter_million,"['loan', 'debt', 'chatter', 'million', 'centers', 'data', 'billion', 'financing', 'loans', 'bridge']","['Banks Ready $38 Billion of Debt for Oracle-Tied Data Centers', 'Market Chatter: __COMPANY__ , __COMPANY__ to Launch $38 Billion Debt Offering for Data Centers', 'Market Chatter: __COMPANY__ Chase, __COMPANY__ Financial Group Lead $38 Billion Debt Deal to Fund Oracle-Linked AI Data Centers']"
27,50,27_buffett_warren_berkshire_hathaway,"['buffett', 'warren', 'berkshire', 'hathaway', 'abel', 'greg', 'quot', 'final', '373', 'letter']","[""Warren Buffett And His Successor Greg Abel Say Berkshire Hathaway Could Hold This $20B Bet For '50 Years Or Forever'"", 'The Best Warren Buffett Stocks to Buy With $1,000 Right Now', ""A look at Warren Buffett's final moves as Berkshire CEO""]"
28,48,28_nvidia_nvda_broadcom_ai,"['nvidia', 'nvda', 'broadcom', 'ai', 'meta', 'rises', 'blockbuster', 'laffont', 'philippe', 'live']","['__COMPANY__ Expects Beat and Raise Quarter for NVIDIA (NVDA)', ""__COMPANY__ Turns Bullish on Nvidia Again -- Here's Why"", 'Nvidia earnings live: Nvidia stock pops as earnings beat, guidance stifles some AI concerns']"
29,48,29_tariff_tariffs_trump_greenland,"['tariff', 'tariffs', 'trump', 'greenland', 'supreme', 'brazil', 'trade', 'court', 'president', 'punitive']","[""Supreme Court ruling throws Trump administration's tariff strategy into flux. What it means for global trade, U.S. economy"", ""Brazil stocks drop, real rebounds after Trump's 50% tariffs"", 'Stocks Rebound as Supreme Court Strikes Down President Trump’s Tariffs']"
30,47,30_rally_late_consider_year,"['rally', 'late', 'consider', 'year', 'strong', 'room', '2024', 'multi', 'does', 'surge']","['Is It Too Late To Consider __TICKER__ Holdings ( __TICKER__ ) After Its Strong Multi Year Rally?', 'Is It Too Late To Consider __COMPANY__ __TICKER__ After Its Strong Multi‐Year Rally?', 'Is It Too Late To Consider __COMPANY__ __TICKER__ After Its Strong Multi Year Rally?']"
31,45,31_micron_memory_mu_sandisk,"['micron', 'memory', 'mu', 'sandisk', 'micro', 'technology', 'dram', 'smci', 'super', 'target']","['__COMPANY__ and __COMPANY__ Lift Price Targets on Micron Technology (MU)', 'Why __COMPANY__ Remains Bullish on Micron Technology, Inc. (MU)', 'Micron Technology, Inc. (MU) Price Target Raised to on DRAM Strength and Memory Market Recovery']"
32,45,32_zacks_highlights_blog_highlighted,"['zacks', 'highlights', 'blog', 'highlighted', 'bear', 'featured', 'bull', 'day', 'industry', 'com']","['Zacks Industry Outlook Highlights __TICKER__ , __TICKER__ Group and __COMPANY__ PLC', 'The Zacks Analyst Blog Highlights __COMPANY__ , __COMPANY__ , __COMPANY__ , __COMPANY__ and KeyCorp', 'Zacks Industry Outlook Highlights __TICKER__ , __COMPANY__ Financial and __COMPANY__']"
33,44,33_buyback_repurchase_share_accelerated,"['buyback', 'repurchase', 'share', 'accelerated', 'programme', 'enters', 'billion', '35', 'verisk', 'announces']","['Verisk Enters $1.5 Bln Accelerated Share Repurchase Agreement', 'Verisk Analytics, Inc. Enters into $1.5 Billion Accelerated Share Repurchase Transaction', '__TICKER__ completes share buyback and announces new programme of up to €2.0 billion']"
34,44,34_better_value_vs_option,"['better', 'value', 'vs', 'option', 'right', 'bsac', 'stock', 'ibn', 'bns', 'nabzy']","['__TICKER__ vs. IBN: Which Stock Is the Better Value Option?', '__TICKER__ or __TICKER__ : Which Is the Better Value Stock Right Now?', '__TICKER__ vs. __TICKER__ : Which Stock Is the Better Value Option?']"
35,43,35_highlights_strategic_record_2025,"['highlights', 'strategic', 'record', '2025', 'earnings', 'corp', 'sa', 'profits', 'q3', 'growth']","['__COMPANY__ __TICKER__ Q3 2025 Earnings Call Highlights: Record Profits and Strategic Growth', '__COMPANY__ Corp __TICKER__ Q4 2025 Earnings Call Highlights: Record Revenue and Strategic Growth ...', 'The __COMPANY__ Bank __TICKER__ Q4 2025 Earnings Call Highlights: Record Earnings and Strategic ...']"
36,43,36_500_amp_p500_session,"['500', 'amp', 'p500', 'session', 'worst', 'outperforms', '200', 'forecast', 'asx', 'record']","['__TICKER__ sees 6% upside for S&amp;P 500 by June 2026', '__TICKER__ sees S&amp;P 500 hitting 7,500 by year-end 2026, fueled by AI and strong corporate profits', 'S&amp;P 500 Slips After Bank Earnings']"
37,40,37_calls_analyst_downgraded_research,"['calls', 'analyst', 'downgraded', 'research', 'upgraded', 'reports', 'street', 'wall', 'mongodb', 'initiated']","[""MongoDB downgraded, Block upgraded: Wall Street's top analyst calls"", 'Adobe downgraded, Nio upgraded: Wall Street’s top analyst calls', ""Adobe downgraded, Nio upgraded: Wall Street's top analyst calls""]"
38,39,38_tsb_sabadell_takeover_bbva,"['tsb', 'sabadell', 'takeover', 'bbva', 'bid', 'unit', 'bidders', 'banco', 'owner', 'spanish']","[""__COMPANY__ and __COMPANY__ are potential bidders for Banco Sabadell's TSB unit"", ""__COMPANY__ Agrees to Buy Sabadell's UK Unit TSB"", 'Market Chatter: Banco __COMPANY__ Reaches Out to Banco de Sabadell About TSB Takeover']"
39,38,39_canadian_canada_dollar_boc,"['canadian', 'canada', 'dollar', 'boc', 'cut', 'says', 'sees', 'g10', 'budget', 'currencies']","[""__COMPANY__ Comments on Canadian Dollar Ahead of This Week's Bank of Canada Policy Meeting"", 'Canadian Dollar Dips as Trump Halts Canada Trade Talks; __TICKER__ Sees BoC Cut Likely', '__TICKER__ Says Bank of Canada Set to Hold Rates on Wednesday Amid Resilient Canadian Dollar']"
40,38,40_ecb_euro_eurozone_eur,"['ecb', 'euro', 'eurozone', 'eur', 'dollar', 'decision', 'pmi', 'rate', 'zone', 'ahead']","[""__TICKER__ Says Euro Weakens Vs. U.S. Dollar Ahead of ECB's Thursday Policy Meeting"", 'U.K., Eurozone Bond Yields Could Rise Ahead of BOE, ECB Decisions', 'Euro Rises on Weaker Dollar, Steady ECB Rate Expectations']"
41,38,41_private_credit_redemptions_withdrawals,"['private', 'credit', 'redemptions', 'withdrawals', 'cliffwater', 'caps', 'limit', 'cracks', 'default', 'mfs']","['__COMPANY__ and Cliffwater limit private credit withdrawals', '__COMPANY__ Caps Private Credit Fund Redemptions; Stock Falls', '__COMPANY__ , Cliffwater Limit Private Credit Redemptions']"
42,37,42_financing_secures_solar_project,"['financing', 'secures', 'solar', 'project', 'closes', 'energy', 'projects', 'million', 'storage', 'battery']","['Recurrent Energy Closes $825 Million in Project Financing for Arizona Energy Projects', 'Lydian Energy Announces $689 Million Financing for Solar and Battery Storage Projects', 'Origis Energy closes financing for two solar projects in US']"
43,37,43_know_attracting_betting_facts,"['know', 'attracting', 'betting', 'facts', 'trending', 'attention', 'investor', 'need', 'investors', 'heavily']","['__COMPANY__ &amp; Company __TICKER__ is Attracting Investor Attention: Here is What You Should Know', '__COMPANY__ Corporation __TICKER__ Is a Trending Stock: Facts to Know Before Betting on It', '__COMPANY__ Corporation __TICKER__ is Attracting Investor Attention: Here is What You Should Know']"
44,36,44_wealth_billionaires_management_401,"['wealth', 'billionaires', 'management', '401', 'women', 'world', 'people', 'retirement', 'shuffle', 'paycheck']","[""Checking In on the World's Billionaires"", 'Checking In on the World’s Billionaires', '__COMPANY__ Wealth Management Surpasses $1 Trillion in Individual Retirement Account Assets Under Management']"
45,36,45_52_high_hits_time,"['52', 'high', 'hits', 'time', 'usd', 'sofi', 'week', 'touches', 'stock', 'buy']","['__COMPANY__ Stock Hits 52-Week High: Is It Worth Buying Now?', '__COMPANY__ Mellon Stock Hits 52-Week High: Is This the Right Time to Invest?', '__COMPANY__ Hits 52-Week High: Should You Buy the Stock Now?']"
46,35,46_ceo_jamie_dimon_pay,"['ceo', 'jamie', 'dimon', 'pay', 'ceos', 'mason', 'smells', 'semafor', 'received', '2008']","['Former __COMPANY__ CEO says he ‘smells’ a 2008-style crisis brewing — could your 401(k) get caught in the crossfire?', ""__COMPANY__ 's looming question: What happens when CEO Jamie Dimon leaves?"", '__COMPANY__ Chase CEO Jamie Dimon Sees an End on the Horizon. But Not Yet.']"
47,35,47_fed_cut_bets_rate,"['fed', 'cut', 'bets', 'rate', 'dollar', 'treasuries', 'bond', 'decision', 'inflation', 'minutes']","['Dollar Remains Weak on Rate-Cut Bets', 'Dollar Could Fall Further if U.S. Rate-Cut Bets Firm', 'Bets on Interest Rate Cut Keep Dollar Under Pressure']"
48,35,48_workforce_jobs_job_000,"['workforce', 'jobs', 'job', '000', 'cuts', 'efficiency', 'restructuring', 'staff', 'plans', 'axe']","['__COMPANY__ Cuts 3% Workforce Despite Record Revenues in 2025', '__COMPANY__ to lay off about 3% of its workforce as job cuts continue in financial sector', '__TICKER__ Plans to Cut About 2% of Workforce Amid Restructuring']"
49,35,49_ipo_files_listings_backed,"['ipo', 'files', 'listings', 'backed', 'ackman', 'bitgo', '212', 'confidentially', '8m', 'crypto']","['Clear Street IPO Targets $12 Billion as Some Investors Push Back', 'Bullish Files for IPO in Latest Crypto Push Onto Public Market', '2 New IPO Stocks Hit the Market; __COMPANY__ Says ‘Buy’']"
50,34,50_cramer_jim_crwd_doing,"['cramer', 'jim', 'crwd', 'doing', 'discusses', 'crowdstrike', 'banco', 'botín', 'ana', 'think']","['Jim Cramer on __COMPANY__ : “That’s a Winner”', 'Jim Cramer Shares His Bullish View on Banco __COMPANY__', 'Jim Cramer is Bullish on __COMPANY__ ’s Recent Earnings Results']"
51,33,51_canadians_poll_survey_finds,"['canadians', 'poll', 'survey', 'finds', 'home', 'holiday', 'want', 'local', 'gen', 'housing']","['Smaller Budgets with Bigger Impact: Canadians Plan to Slash Holiday Spending, But Mostly Buying Local: __TICKER__ Survey', '2 in 3 Canadians Plan Big Spending Cuts in 2026: __TICKER__ Survey', 'Despite an uncertain market, Canadians still want a home to call their own: __COMPANY__ Spring Home Ownership Poll']"
52,33,52_penny_uk_promising_caps,"['penny', 'uk', 'promising', 'caps', 'picks', 'stocks', 'watch', 'consider', '200m', 'discovering']","['UK Penny Stocks To Watch In January 2026', ""UK's Promising Penny Stocks For November 2025"", 'Promising UK Penny Stocks To Watch In February 2026']"
53,31,53_making_biggest_moves_midday,"['making', 'biggest', 'moves', 'midday', 'premarket', 'movers', 'amp', 'hims', 'stocks', 'delta']","['Stocks making the biggest moves premarket: Nvidia, Delta Air Lines, Eli Lilly &amp; more', 'Stocks making the biggest moves midday: First Solar, Newmont, __COMPANY__ , Nvidia &amp; more', 'Stocks making the biggest moves premarket: __COMPANY__ , __COMPANY__ , Netflix &amp; more']"
54,31,54_bell_pre_exchange_funds,"['bell', 'pre', 'exchange', 'funds', 'futures', 'equity', 'traded', 'higher', 'wednesday', 'releases']","['Exchange-Traded Funds, Equity Futures Higher Pre-Bell Friday Amid Bank Earnings Release', 'Exchange-Traded Funds, Equity Futures Higher Pre-Bell Tuesday Ahead of Jobs Report', 'Exchange-Traded Funds, Equity Futures Higher Pre-Bell Wednesday Ahead of Nvidia Earnings Report']"
55,31,55_bnp_enxtpa_share_valuation,"['bnp', 'enxtpa', 'share', 'valuation', 'assessing', 'price', 'strong', 'cvc', 'gle', 'slm']","['__COMPANY__ (ENXTPA:BNP): Assessing Valuation After Recent Share Price Pullback', 'A Look At __COMPANY__ (ENXTPA:BNP) Valuation After Strong Recent Share Price Momentum', 'Assessing __COMPANY__ (ENXTPA:BNP) Valuation After Strong Recent Share Price Momentum']"
56,31,56_dividend_right_great_portfolio,"['dividend', 'right', 'great', 'portfolio', 'stock', 'sa', 'corporation', 'groep', 'banco', 'annaly']","['Why __COMPANY__ Bank __TICKER__ is a Great Dividend Stock Right Now', 'Why __COMPANY__ __TICKER__ is a Great Dividend Stock Right Now', 'Why __TICKER__ __TICKER__ is a Great Dividend Stock Right Now']"
57,31,57_news_2026_jan_market,"['news', '2026', 'jan', 'market', 'wall', '2030f', '2035f', 'street', '2020', 'crash']","['Investment Monitoring Service Analysis Report 2026: $2.7 Bn Market Opportunities, Trends, Competitive Landscape, Strategies, and Forecasts, 2020-2025, 2025-2030F, 2035F', 'Securities Brokerage and Stock Exchange Services Business Report 2026: $3.3 Trn Market Trends, Opportunities, Competitive Analysis, and Long-term Forecasts, 2020-2025, 2025-2030F, 2035F', 'Securities Brokerages and Stock Exchanges Business Report 2026: $3.3 Trillion Market Trends, Opportunities, Competitive Analysis, and Long-term Forecasts, 2020-2025, 2025-2030F, 2035F']"
58,30,58_notes_senior_floating_announces,"['notes', 'senior', 'floating', 'announces', 'offering', 'redemption', 'successfully', 'fixed', '800', '2027']","['__COMPANY__ Announces Redemption of €1,750,000,000 Floating Rate Senior Notes, due March 10, 2027', '__COMPANY__ Announces Redemption of $2,800,000,000 1.658% Fixed/Floating Rate Senior Notes, Due March 2027', '__COMPANY__ Announces Redemption of Fixed Rate / Floating Rate Callable Senior Notes Due 2026']"
59,30,59_indexes_equity_print_fall,"['indexes', 'equity', 'print', 'fall', 'index', 'wsj', 'mixed', 'divergent', 'parse', 'producer']","['US Equity Indexes Fall as Mixed Bank Earnings, Divergent Inflation Print Fail to Lift Risk Sentiment', 'US Equity Indexes Fall as Investors Parse Bank Earnings, Divergent Inflation Print', 'US Equity Indexes Lower After Bank Earnings, Inflation Print']"
60,29,60_conference_speak_43rd_annual,"['conference', 'speak', '43rd', 'annual', 'participate', 'industrial', 'services', 'select', 'present', 'conferences']","['__COMPANY__ to Speak at the __COMPANY__ 2025 Financial Services Conference', '__COMPANY__ to Speak at the __COMPANY__ Global Financial Services Conference', '__COMPANY__ to Speak at the __COMPANY__ Financial Services Conference']"
61,28,61_dividend_declares_common_increasing,"['dividend', 'declares', 'common', 'increasing', 'dividends', '53', '13', 'ca', '54', 'stress']","['__COMPANY__ Corporation Declares Dividends on its Common Stock and Non-Cumulative Perpetual Preferred Stock Series ""G,"" ""I,"" ""J,"" and ""K""', '__COMPANY__ Declares Common Stock Dividend', '__COMPANY__ Corporation Declares Common Stock Dividend']"
62,28,62_momentum_great_buy_instead,"['momentum', 'great', 'buy', 'instead', 'makes', 'reasons', 'stock', 'strong', 'corporation', 'bros']","['__COMPANY__ Corporation __TICKER__ is a Great Momentum Stock: Should You Buy?', '__COMPANY__ Bank __TICKER__ is a Great Momentum Stock: Should You Buy?', '__COMPANY__ __TICKER__ is a Great Momentum Stock: Should You Buy?']"
63,28,63_inga_enxtam_groep_buyback,"['inga', 'enxtam', 'groep', 'buyback', 'share', 'ams', '6b', 'special', 'assessing', 'valuation']","['__TICKER__ (ENXTAM:INGA) Valuation: Is There More Upside After Recent Share Price Pullback?', 'Why The Narrative Around __TICKER__ Groep (ENXTAM:INGA) Is Shifting With New Fair Value Signals', 'Assessing __TICKER__ Groep (ENXTAM:INGA) Valuation After Recent Share Price Pullback']"
64,28,64_neutral_downgrades_cibc_pt,"['neutral', 'downgrades', 'cibc', 'pt', 'outperform', 'downgraded', 'bmo', 'reward', 'balanced', 'raises']","['CIBC and BMO Capital Raises PT on The __COMPANY__ __TICKER__', 'CIBC Downgrades __COMPANY__ __TICKER__ to Neutral From Outperform', 'CIBC Downgrades __COMPANY__ __TICKER__ To Neutral, Keeps the PT']"
65,27,65_sanofi_enxtpa_phase_valuation,"['sanofi', 'enxtpa', 'phase', 'valuation', 'exploring', 'share', 'belén', 'garijo', 'recent', 'amlitelimab']","['Is Sanofi (ENXTPA: __TICKER__ ) Offering Value After Recent Share Price Weakness', 'Sanofi (ENXTPA: __TICKER__ ): Exploring Valuation Following Recent Share Price Momentum', 'Sanofi (ENXTPA: __TICKER__ ): Assessing Valuation After Recent Share Price Weakness']"
66,27,66_suisse_swx_ubsg_integration,"['suisse', 'swx', 'ubsg', 'integration', 'credit', 'group', 'priced', 'fairly', 'migration', 'ultra']","['Assessing __TICKER__ Group (SWX:UBSG) Valuation After Strong Multi‐Year Returns And Credit Suisse Integration Progress', 'Is __TICKER__ Group (SWX:UBSG) Still Priced Attractively After The Credit Suisse Integration Story?', 'Is __TICKER__ Group (SWX:UBSG) Still Attractive After Credit Suisse Integration And Recent Share Pullback']"
67,27,67_insider_ownership_european_companies,"['insider', 'ownership', 'european', 'companies', 'growth', 'high', 'september', 'expecting', 'undervalued', '2025']","['European Growth Companies With High Insider Ownership In September 2025', 'European Growth Companies With High Insider Ownership For September 2025', 'European Growth Companies With High Insider Ownership']"
68,27,68_transcript_q4_hotels_chh,"['transcript', 'q4', 'hotels', 'chh', 'earnings', '2025', 'highlights', 'choice', 'q2', 'eastman']","['Choice Hotels (CHH) Q4 2025 Earnings Transcript', '__TICKER__ __TICKER__ Q3 2025 Earnings Call Transcript', '__COMPANY__ __TICKER__ Q4 2025 Earnings Call Transcript']"
69,26,69_iran_war_conflict_glad,"['iran', 'war', 'conflict', 'glad', 'safety', 'woes', 'firms', 'shifted', 'pushing', 'reacts']","[""__COMPANY__ Executive Says Some Clients Are 'Glad' Iran War Shifted Focus Away From Software Exposure, Private Credit Woes: Report"", 'The Economic Winners and Losers of the Iran War', 'Stocks Slump on Iran War and Credit Woes']"
70,26,70_overweight_keeps_weight_equal,"['overweight', 'keeps', 'weight', 'equal', 'rating', 'gitlab', 'gtlb', 'wynn', 'ppl', 'maintains']","['__COMPANY__ Boosts DraftKings Inc. (DKNG) to Overweight from Equal Weight', 'Honda downgraded to Equal Weight from Overweight at __COMPANY__', '__COMPANY__ Downgrades GitLab Inc. (GTLB) from Overweight to Equal Weight']"
71,26,71_bme_banco_evaluating_kepler,"['bme', 'banco', 'evaluating', 'kepler', 'valuation', 'cheuvreux', 'assessing', 'recent', 'sap', 'profits']","['Assessing Banco __COMPANY__ ’s (BME: __TICKER__ ) Valuation After A Strong Year Of Shareholder Returns', 'Assessing Banco __COMPANY__ (BME: __TICKER__ ) Valuation After Recent Share Price Pullback', 'Banco __COMPANY__ (BME: __TICKER__ ): Assessing Valuation After Recent Share Price Momentum']"
