Topic,Count,Name,Representation,Representative_Docs
14,276,14_stock buy_best_buy according_according,"['stock buy', 'best', 'buy according', 'according', 'amp best', 'dividend stock', 'stock invest', 'corporation best', 'according hedge', 'buy right']","['Is __COMPANY__ &amp; Company __TICKER__ the Best Bank Dividend Stock to Buy Right Now?', 'Is __COMPANY__ &amp; Company __TICKER__ the Best Dividend Stock to Buy According to Billionaires?', 'Is __COMPANY__ Chase &amp; Co. __TICKER__ the Best Bank Dividend Stock to Buy Right Now?']"
15,268,15_profit_profit rises_profit beats_beats,"['profit', 'profit rises', 'profit beats', 'beats', 'profit jumps', 'beats estimates', 'rises', 'jumps', 'estimates', 'update profit']","['UPDATE 2- __COMPANY__ profit beats expectations on reserve release boost', 'UPDATE 3- __COMPANY__ profit beats estimates on gains from higher interest rates', '__COMPANY__ profit beats estimates on reserve release']"
16,265,16_stocks wall_wall st_st_mixed,"['stocks wall', 'wall st', 'st', 'mixed', 'wall', 'open', 'set open', 'earnings stocks', 'stocks', 'pts']","['US STOCKS-Wall St slips as investors await earnings, Fed cues', 'US STOCKS-Wall St ends higher; investors await earnings, Fed cues', 'US STOCKS-Wall St set to open lower after mixed results from big banks']"
17,259,17_spurs_roundup_sharks_49ers,"['spurs', 'roundup', 'sharks', '49ers', 'vs', 'win', 'year deal', 'dodgers', 'padres', 'brewers']","['MLB roundup: Brewers win NL Central, then walk off Phillies', 'MLB roundup: Phillies top Marlins for 5th straight win', ""MLB roundup: Shohei Ohtani sparks Dodgers' rally vs. Padres""]"
18,258,18_ipo_billion ipo_kong ipo_backed,"['ipo', 'billion ipo', 'kong ipo', 'backed', 'files ipo', 'files', 'billion hong', 'billion', 'hong kong', 'kong']","['China Trucking Startup Said to Raise $1.6 Billion in U.S. IPO', 'Tencent-Backed Linklogis Seeks $1.1 Billion in Hong Kong IPO', 'JD Logistics Poised to Raise $3.2 Billion in Hong Kong IPO']"
19,254,19_bitcoin_crypto_ethereum_stablecoins,"['bitcoin', 'crypto', 'ethereum', 'stablecoins', 'bitcoin price', 'cryptocurrency', 'prediction', 'xrp', 'dogecoin', '000']","['Bitcoin Price, XRP Drop. What’s Hitting the Crypto Sector.', 'Bitcoin (BTC): The Best Cryptocurrency to Buy Now?', 'Bitcoin price rises after Fed interest rate cut']"
20,246,20_market today_today dow_500 nasdaq_nasdaq,"['market today', 'today dow', '500 nasdaq', 'nasdaq', 'stock market', 'dow amp', 'today', 'dow', 'amp 500', '500']","['Stock market today: Dow, S&amp;P 500, Nasdaq rise after Trump and Xi hold call on trade', 'Stock market today: Dow, S&amp;P 500, Nasdaq futures rise as Wall Street looks to big bank earnings', 'Stock market today: Dow, S&amp;P 500, Nasdaq futures take a breather']"
21,244,21_profit falls_profit_falls_misses,"['profit falls', 'profit', 'falls', 'misses', 'profit drops', 'profits', 'update profit', 'dealmaking', 'profits drop', 'loan loss']","['__COMPANY__ profit falls but beats estimates while __COMPANY__ misses', '__COMPANY__ Third-Quarter Profit Falls on Higher Expenses', '__COMPANY__ Profit Falls 8%']"
22,227,22_foundation_grant_awards_donates,"['foundation', 'grant', 'awards', 'donates', 'million', 'awards million', 'grants', 'support', 'nonprofits', 'homeownership']","['__COMPANY__ Foundation Awards $7.5 Million to LISC NY to Expand Homeownership for Families of Color', '__COMPANY__ Foundation Awards $7.5 Million to LISC Virginia To Expand Homeownership for Families of Color', '__COMPANY__ Foundation Awards $7.5 Million to LISC Houston to Expand Homeownership for Families of Color']"
23,226,23_dividend stocks_dividend_best dividend_10 best,"['dividend stocks', 'dividend', 'best dividend', '10 best', '10 dividend', '10', 'buy according', 'according', 'stocks buy', 'best']","['10 Best Dividend Stocks to Buy in August', '10 Best Dividend Stocks To Buy According To Warren Buffett', '10 Best Dividend Stocks to Buy Now']"
24,222,24_premarket_rise premarket_fall premarket_fall,"['premarket', 'rise premarket', 'fall premarket', 'fall', 'rise', 'falls', 'tesla', 'boeing', 'apple', 'johnson']","['__COMPANY__ , __COMPANY__ rise premarket; Tesla, Apple, Boeing fall', '__COMPANY__ , Exxon rise premarket; __COMPANY__ , __COMPANY__ , Tesla fall', '__COMPANY__ , Boeing Rise Premarket; Tesla Falls']"
25,216,25_valuation_corporation_assessing valuation_assessing,"['valuation', 'corporation', 'assessing valuation', 'assessing', 'according', 'buy according', 'corporation best', 'evaluating valuation', 'share price', 'good']","['__COMPANY__ Corporation __TICKER__ : Among the Top Dividend Stocks to Buy According to Hedge Funds', '__COMPANY__ __TICKER__ : Assessing Valuation After Recent Share Price Strength', '__COMPANY__ Inc. __TICKER__ : Among the Top Dividend Stocks to Buy According to Hedge Funds']"
26,214,26_acquisition_strategic acquisition_acquire_acquires,"['acquisition', 'strategic acquisition', 'acquire', 'acquires', 'corp strategic', 'shares corp', 'agrees', 'completes acquisition', 'strategic', 'completes']","[""__COMPANY__ Corp's Strategic Acquisition of 3M Co Shares"", ""__COMPANY__ Corp's Strategic Acquisition of Paramount Global Shares"", ""__COMPANY__ Corp's Strategic Acquisition of Shares in Ocugen Inc""]"
27,207,27_dividend stock_great_great dividend_makes,"['dividend stock', 'great', 'great dividend', 'makes', 'momentum stock', 'strong momentum', 'stock long', 'stock portfolio', 'momentum', 'trend']","['Why The __COMPANY__ Corporation __TICKER__ is a Great Dividend Stock Right Now', 'This is Why __COMPANY__ __TICKER__ is a Great Dividend Stock', 'Why __COMPANY__ __TICKER__ is a Great Dividend Stock Right Now']"
28,201,28_moody_ratings_moody announces_periodic,"['moody', 'ratings', 'moody announces', 'periodic', 'completion periodic', 'periodic review', 'announces completion', 'review ratings', 'assigns', 'completion']","[""__COMPANY__ (Sydney Branch) -- Moody's announces completion of a periodic review of ratings of __COMPANY__"", ""__COMPANY__ Trust Company, N.A. -- Moody's announces completion of a periodic review of ratings of __COMPANY__ Corporation (The)"", ""__COMPANY__ Bank, Ltd. -- Moody's announces completion of a periodic review of ratings of __COMPANY__ , Inc.""]"
29,198,29_results_results reports_quarter_reports quarter,"['results', 'results reports', 'quarter', 'reports quarter', 'financial results', 'reports', 'reports second', 'second quarter', 'quarter 2025', 'second']","['__COMPANY__ Reports Third Quarter 2025 Financial Results', '__COMPANY__ Corporation ( __TICKER__ ) Reports Second-Quarter 2025 Financial Results', '__COMPANY__ Reports Second Quarter 2025 Financial Results']"
30,186,30_berkshire_buffett_berkshire hathaway_hathaway,"['berkshire', 'buffett', 'berkshire hathaway', 'hathaway', 'warren buffett', 'warren', 'stake', 'buffett berkshire', 'sold', 'buffett sold']","['Warren Buffett’s Berkshire Hathaway Sells More __COMPANY__ Stock. Here’s How Much It Has Left.', ""Warren Buffett's Berkshire Hathaway trims __COMPANY__ stake below 10%"", 'Warren Buffett’s Berkshire Hathaway Sells More __COMPANY__ Stock']"
31,185,31_healthcare conference_44th_44th annual_annual healthcare,"['healthcare conference', '44th', '44th annual', 'annual healthcare', 'healthcare', 'present 44th', 'present', 'conference', 'annual', 'therapeutics present']","['Moderna to Present at the 44th Annual __COMPANY__ Healthcare Conference', 'Sarepta Therapeutics to Present at the 44th Annual __COMPANY__ Healthcare Conference', 'Viking Therapeutics to Present at the 44th Annual __COMPANY__ Healthcare Conference']"
32,185,32_bank stocks_best bank_stocks buy_bank,"['bank stocks', 'best bank', 'stocks buy', 'bank', 'stocks', 'prospering', 'industry', 'cheap bank', 'buy', 'foreign']","['5 of the Best Bank Stocks to Buy Now', 'The 3 Best Bank Stocks to Buy Now', '3 Top Bank Stocks to Buy in May']"
33,177,33_cramer_jim cramer_jim_cramer says,"['cramer', 'jim cramer', 'jim', 'cramer says', 'says jim', 'cramer jim', 'cramer group', 'says', 'higher jim', 'cramer calls']","['Jim Cramer Says “Don’t Wait” on __COMPANY__', 'Jim Cramer Says If You Don’t Own Any Bank Stocks “You Can Buy __COMPANY__ ”', 'Jim Cramer Says He’s “Very Happy” With __COMPANY__']"
34,176,34_buffett stocks_stocks buy_brainer_stocks,"['buffett stocks', 'stocks buy', 'brainer', 'stocks', 'mega cap', 'buy right', 'hold forever', 'buy', 'forever', 'avoid']","['2 Warren Buffett Stocks to Buy Hand Over Fist and 1 to Avoid Like the Plague', '2 No-Brainer Warren Buffett Stocks to Buy Right Now', '2 Warren Buffett Stocks to Buy Hand Over Fist and 1 to Avoid']"
35,175,35_treasury_treasuries_treasury yields_yields,"['treasury', 'treasuries', 'treasury yields', 'yields', 'bond', 'traders', 'fed', 'year yield', 'bets', 'fed rate']","[""U.S. Treasury Yields Mixed as Data, Fed's Miran Speech Awaited"", 'U.S. Treasury Yields Fall Amid Renewed Hopes of Fed Rate Cuts', 'Treasury Yields Rise Ahead of Fed as Traders Trim Rate-Cut Bets']"
36,175,36_portfolio invested_warren buffett_invested_warren,"['portfolio invested', 'warren buffett', 'invested', 'warren', 'buffett', 'billion portfolio', 'portfolio', 'stocks warren', 'invested stocks', 'buffett portfolio']","[""73% of Warren Buffett's Portfolio Is Invested in These 5 Stocks"", ""80% of Warren Buffett's Portfolio Is Invested in These 7 Stocks"", ""65% of Warren Buffett's Portfolio Is Invested in These 4 Stocks""]"
37,173,37_insiders_sold_insiders sold_worth stock,"['insiders', 'sold', 'insiders sold', 'worth stock', 'stock possibly', 'possibly', 'possibly signalling', 'signalling', 'worth', 'insiders sell']","['__COMPANY__ Corporation ( __TICKER__ ) insiders sold US$6.0m worth of stock, possibly signalling a downtrend', '__COMPANY__ Inc. ( __TICKER__ ) insiders sold US$2.6m worth of stock, possibly signalling a downtrend', '__COMPANY__ Inc. ( __TICKER__ ) insiders sold US$4.6m worth of stock, possibly signalling a downtrend']"
38,172,38_japan_yen_boj_intervention,"['japan', 'yen', 'boj', 'intervention', 'japan banks', 'ueda', 'tokyo', 'japanese', 'kuroda', 'intervention japan']","['FOREX-BOJ policy tweak sends yen into a tail-spin; dollar claws higher', 'Japan Likely Spent About $23 Billion in Latest Yen Intervention', 'BOJ policy tweak sends yen into a tail-spin; dollar claws higher']"
39,172,39_press release_sanofi_press_release sanofi,"['press release', 'sanofi', 'press', 'release sanofi', 'release', 'phase', 'multiple', 'fda', 'disease', 'multiple sclerosis']","['Press Release: Sanofi and Regeneron’s Dupixent approved in Japan for children aged 6 to 11 years with bronchial asthma', 'Press Release: Sanofi provides update on tolebrutinib regulatory submission in non-relapsing secondary progressive multiple sclerosis', 'Press Release: Sanofi provides update on tolebrutinib in primary progressive multiple sclerosis']"
40,154,40_european_european stocks_european shares_equities close,"['european', 'european stocks', 'european shares', 'equities close', 'european equities', 'equities', 'update european', 'european stock', 'close', 'stock futures']","['European stocks edge higher; inflation data in focus ahead of Fed meeting', 'UPDATE 1-European stocks bounce back on earnings support', 'European Equities Close Mostly Higher in Wednesday Trading; Eurozone Q1 GDP Grows Faster Than Expected']"
41,150,41_buys_sells_corp_llc buys,"['buys', 'sells', 'corp', 'llc buys', 'llc', 'corp sells', 'management buys', 'management llc', 'trust buys', 'nv']","['American Assets Investment Management, LLC Buys Shell PLC, Walmart Inc, Exxon Mobil Corp, Sells ...', 'Colrain Capital Llc Buys Dow Inc, Newmont Corp, Comcast Corp, Sells Hess Corp, Sylvamo Corp', 'Alley Co LLC Buys __COMPANY__ , Zoetis Inc, American Tower Corp, Sells Comcast Corp']"
42,150,42_watch_things watch_things_know week,"['watch', 'things watch', 'things', 'know week', 'bank earnings', 'retail sales', 'week', 'watch week', 'earnings things', 'sales']","['__COMPANY__ , Retail Sales, Consumer Confidence: 3 Things to Watch', 'Retail Sales, UnitedHealth Results, Big Bank Earnings: 3 Things to Watch', 'Top 5 things to watch in markets in the week ahead']"
43,149,43_goldman_solomon_goldman ceo_david solomon,"['goldman', 'solomon', 'goldman ceo', 'david solomon', 'goldman profit', 'david', 'ceo david', 'goldman solomon', 'goldman goldman', 'goldman warns']","['Goldman CEO David Solomon Prepares for a Possible Recession', ""The Big Question for Goldman's CEO David Solomon"", 'The Big Question for Goldman CEO David Solomon']"
44,148,44_conference_speak_services conference_financial services,"['conference', 'speak', 'services conference', 'financial services', 'present', 'participate', 'global financial', 'services', 'decisions conference', 'strategic decisions']","['__COMPANY__ Chase to Present at the __COMPANY__ Global Financial Services Conference', '__COMPANY__ to Speak at __COMPANY__ Global Financial Services Conference', '__COMPANY__ to Speak at the __COMPANY__ Global Financial Services Conference']"
45,146,45_fined_penalty_laundering_suit,"['fined', 'penalty', 'laundering', 'suit', 'money laundering', 'anti money', 'sues', 'faces', 'anti', 'lawsuit']","['UPDATE 2- __TICKER__ fined $85 mln for UK anti-money laundering failings', ""Canada's anti-money laundering agency imposes __TICKER__ $7.5 million penalty on __COMPANY__"", '__TICKER__ fined $85 million for UK anti-money laundering failings']"
46,142,46_market chatter_chatter_update market_market,"['market chatter', 'chatter', 'update market', 'market', 'chatter chase', 'chatter banco', 'billion debt', 'update', 'chatter talks', 'buyout market']","['Update: Market Chatter: __COMPANY__ , __COMPANY__ Preparing $1.2 Billion Debt Sale Tied to Finastra Unit Buyout', 'Update: Market Chatter: __COMPANY__ Chase Freezes Accounts of Stablecoin Startups Over Legal Risks', 'Update: Market Chatter: __COMPANY__ in Talks With Apple to Take Over Credit Card Program From Goldman']"
47,142,47_gold_gold prices_gold rises_gold edges,"['gold', 'gold prices', 'gold rises', 'gold edges', 'gold futures', 'haven', 'haven demand', 'gold hits', 'rate cut', 'edges']","['Gold Rises to Record High Amid Increased Fed Rate Cut Bets', 'Gold Futures Trade Near Record High on Rate-Cut Hopes', 'Gold prices jump on safe-haven demand and Fed rate-cut hopes']"
48,142,48_nvcc_non_shares series_preferred shares,"['nvcc', 'non', 'shares series', 'preferred shares', 'year rate', 'non cumulative', 'cumulative', 'rate reset', 'cumulative year', 'class preferred']","['__TICKER__ Announces Results of Conversion Privilege of Non-Cumulative 5-Year Rate Reset Class A First Preferred Shares, Series 1 (NVCC)', '__TICKER__ Bank Announces Redemption of Non-Cumulative 5-Year Rate Reset Class A First Preferred Shares, Series 9 (NVCC)', '__TICKER__ Bank Announces Redemption of Non-Cumulative 5-Year Rate Reset Class A First Preferred Shares, Series 7 (NVCC)']"
49,141,49_russia_russian_exposure_exit,"['russia', 'russian', 'exposure', 'exit', 'putin', 'exposure russia', 'wind', 'russia exit', 'russia consumer', 'russian exposure']","['__COMPANY__ to wind down Russia business', '__COMPANY__ slashes credit exposure to Russia', '__COMPANY__ cuts credit exposure to Russia']"
50,140,50_seng_hang seng_hang_canary wharf,"['seng', 'hang seng', 'hang', 'canary wharf', 'canary', 'wharf', 'hong kong', 'kong', 'hong', 'seng bank']","[""__TICKER__ Proposes to Acquire, Privatize Hong Kong's Hang Seng Bank"", '__TICKER__ to review Canary Wharf tower HQ, consider new London base', ""__TICKER__ proposes $13.6 billion deal to take Hong Kong's Hang Seng Bank private""]"
51,137,51_bank earnings_big banks_earnings_big,"['bank earnings', 'big banks', 'earnings', 'big', 'big bank', 'earnings season', 'banks', 'season', 'banks earnings', 'bank']","[""Big Takeaways From the Big Banks' Earnings"", ""Big banks kick off earnings season on Friday — here's what to expect"", 'Big banks kick off earnings season with a bang']"
52,137,52_survey_study_finds_survey reveals,"['survey', 'study', 'finds', 'survey reveals', 'reveals', 'management pulse', 'pulse survey', 'pulse', 'workplace', 'survey finds']","['__COMPANY__ at Work Unveils Equity Compensation Findings From Inaugural State of the Workplace Financial Benefits Study', '__COMPANY__ at Work Unveils Equity Compensation Findings from Second Annual State of the Workplace Financial Benefits Study', '__COMPANY__ Wealth Management Pulse Survey Reveals Growing Investor Optimism']"
53,132,53_stocks watch_watch_watch week_watch tuesday,"['stocks watch', 'watch', 'watch week', 'watch tuesday', 'watch wednesday', 'watch friday', 'week', 'week stocks', 'watch monday', 'watch thursday']","['Stocks to Watch Tuesday: Nvidia, __COMPANY__ Chase, __COMPANY__', 'Stocks to Watch Tuesday: __COMPANY__ , Tesla, Boeing', '__COMPANY__ , __COMPANY__ , Netflix, J&amp;J, and More Stocks to Watch This Week']"
54,131,54_companies_companies world_15_world,"['companies', 'companies world', '15', 'world', '15 biggest', 'biggest', 'valuable', 'world 15', '20', 'biggest companies']","['15 Most Valuable Japanese Companies in the World', '15 Biggest Holding Companies in the World', '20 Most Valuable IT Companies In The World']"
55,131,55_alert_class action_deadline_action lawsuit,"['alert', 'class action', 'deadline', 'action lawsuit', 'action', 'shareholder alert', 'class', 'plaintiff', 'lead plaintiff', 'plaintiff deadline']","['SHAREHOLDER ALERT : Bronstein, Gewirtz & Grossman, LLC Reminds Investors of Class Action Against The __COMPANY__ Group, Inc. __TICKER__ and Lead Plaintiff Deadline: February 19, 2019', 'SHAREHOLDER ALERT- Bronstein, Gewirtz & Grossman, LLC Reminds Investors of Class Action Against The __COMPANY__ Group, Inc. __TICKER__ and Lead Plaintiff Deadline - February 19, 2019', 'SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Reminds Investors of Class Action Against The __COMPANY__ Group, Inc. __TICKER__ and Lead Plaintiff Deadline - - February 19, 2019']"
56,131,56_stock rises_stock jumps_shares_shares rise,"['stock rises', 'stock jumps', 'shares', 'shares rise', 'beat', 'earnings beat', 'rises', 'shares jump', 'jumps', 'rises earnings']","['__COMPANY__ stock rises on Q2 earnings beat', '__COMPANY__ Stock Rises on Earnings and Revenue Beat', '__COMPANY__ Stock Rises After Earnings Beat Forecasts']"
57,128,57_shares_stock falls_shares sink_stock slides,"['shares', 'stock falls', 'shares sink', 'stock slides', 'shares fall', 'shares drop', 'sink', 'falls', 'slides', 'stock drops']","['__COMPANY__ shares sink: What to know', '__COMPANY__ Earnings Beat Expectations. But the Stock Falls After Higher Expenses and Slower Trading.', '__COMPANY__ Stock Falls on Earnings Miss']"
58,126,58_tickers_trending tickers_trending_tickers nvidia,"['tickers', 'trending tickers', 'trending', 'tickers nvidia', 'tickers trending', 'nvidia', 'tickers apple', 'tesla', 'tickers tesla', 'novo']","['Trending tickers: Nvidia, __COMPANY__ , Moderna and Walmart', 'Apple, Chevron, __COMPANY__ : Trending Tickers', 'Trending tickers: Apple | Amazon | __COMPANY__ | Tesla']"
59,123,59_funds right_hedge funds_hedge_right,"['funds right', 'hedge funds', 'hedge', 'right', 'funds', 'right piling', 'piling', 'funds illusioned', 'illusioned', 'investors right']","['Were Hedge Funds Right About Piling Into __COMPANY__ __TICKER__ ?', 'Were Hedge Funds Right About __COMPANY__ Inc. __TICKER__ ?', 'Were Hedge Funds Right About __COMPANY__ __TICKER__ ?']"
60,121,60_raises_funding_management raises_raises billion,"['raises', 'funding', 'management raises', 'raises billion', 'led', 'series funding', 'funding led', 'led asset', 'funding round', 'million investment']","['__COMPANY__ Asset Management raises $4 billion for infrastructure deals', 'Aware raises $60 million in Series __TICKER__ funding led by __COMPANY__ Asset Management', '__COMPANY__ Investment Management Raises $3.1 Billion for North Haven Real Estate Fund X Global']"
61,118,61_etf_management launches_global advisors_asset management,"['etf', 'management launches', 'global advisors', 'asset management', 'launches', 'active', 'management', 'suite', 'asset', 'spdr']","['__COMPANY__ Asset Management Launches Actively-Managed Emerging Markets Fixed Income Mutual Fund in the U.S.', '__COMPANY__ Global Advisors Expands Fixed Income ETF Offering with Its First Actively Managed Municipal Bond ETF', '__COMPANY__ Asset Management Launches Active Fixed Income ETF: __COMPANY__ Income ETF (JPIE)']"
62,117,62_buffett stocks_buffett_warren buffett_warren,"['buffett stocks', 'buffett', 'warren buffett', 'warren', 'stocks warren', 'stocks screaming', 'screaming buys', 'screaming', 'stocks buy', 'fist']","['3 Warren Buffett Stocks That Are Screaming Buys in May', '3 Warren Buffett Stocks to Buy Now: May 2024', '5 Warren Buffett Stocks to Buy and Never Sell']"
63,116,63_appoints_officer_chief_board,"['appoints', 'officer', 'chief', 'board', 'nelson', 'hires', 'brendan nelson', 'chair', 'brendan', 'names']","['__TICKER__ to appoint Marnix van Stiphout as chief operations officer, chief transformation officer and member of the Management Board Banking', '__TICKER__ appoints Brendan Nelson as group chairman', '__TICKER__ appoints chief financial officer Georges Elhedery as new chief executive']"
64,116,64_pound_boe_sterling_uk,"['pound', 'boe', 'sterling', 'uk', 'bank england', 'england', 'uk inflation', 'inflation', 'uk economy', 'year high']","['Interest rates: UK households expect hawkish hike ahead of BoE meeting', 'UK Inflation Drop Clears Way for BOE Rate Cut', 'Pound falls against dollar amid UK economy concerns']"
65,116,65_floating rate_floating_notes_redemption,"['floating rate', 'floating', 'notes', 'redemption', 'rate senior', 'senior notes', 'fixed', 'senior', 'fixed floating', 'announces redemption']","['__COMPANY__ Announces Redemption of Floating Rate Senior Notes Due May 2024', '__COMPANY__ Announces Redemption of Floating Rate Senior Notes Due 2024', '__COMPANY__ Announces Redemption of Floating Rate Senior Notes Due 2025']"
66,115,66_crypto_crypto trading_bitcoin_ethereum,"['crypto', 'crypto trading', 'bitcoin', 'ethereum', 'clients', 'trading institutional', 'trading', 'trading trade', 'institutional clients', 'cryptocurrency']","['Breaking: $4T __COMPANY__ Explores Crypto Trading for Institutional Clients as U.S. Banks Embrace Crypto', '__COMPANY__ Plans to Offer Crypto Trading to E*Trade Clients', '__COMPANY__ Is Exploring Crypto Trading for Institutional Clients']"
67,115,67_rating_buy rating_maintains_stock rating,"['rating', 'buy rating', 'maintains', 'stock rating', 'pt', 'rating upgraded', 'reiterates', 'maintains buy', 'reiterates buy', 'raises pt']","['__COMPANY__ Reiterates a Buy Rating on __COMPANY__ __TICKER__', '__COMPANY__ Raises PT on __COMPANY__ Inc. __TICKER__ ; Maintains ‘Buy’ Rating', '__COMPANY__ Maintains its __COMPANY__ Inc. __TICKER__ Buy Rating']"
68,113,68_buys_ishares_llc buys_llc,"['buys', 'ishares', 'llc buys', 'llc', 'etf', 'buys ishares', 'vanguard', 'bond etf', 'management llc', 'etf vanguard']","['Affinity Capital Advisors, LLC Buys iShares ESG 1-5 Year USD Corporate Bond ETF, Vanguard ...', 'Private Capital Management Llc Buys Vanguard Russell 1000 Index Fund, BTC iShares Core MSCI ...', 'SevenBridge Financial Group, LLC Buys iShares Core S&amp;P 500 ETF, iShares 1-3 Year Credit ...']"
