Topic,Count,Name,Representation,Representative_Docs
15,319,15_profit_profit rises_profit beats_beats,"['profit', 'profit rises', 'profit beats', 'beats', 'profit jumps', 'beats estimates', 'rises', 'update profit', 'posts', 'beats profit']","['UPDATE 3- __COMPANY__ profit beats estimates on gains from higher interest rates', '__COMPANY__ profit beats estimates on reserve release', '__COMPANY__ Profit Rises 9%']"
16,315,16_stocks wall_wall st_st_mixed,"['stocks wall', 'wall st', 'st', 'mixed', 'wall', 'earnings stocks', 'equity indexes', 'higher', 'set open', 'indexes']","['US STOCKS-Wall St set to open lower after mixed results from big banks', 'US STOCKS-Wall St ends higher; investors await earnings, Fed cues', 'US STOCKS-Wall St set to open higher ahead of monthly inflation data']"
17,311,17_revenues_estimates_earnings revenues_beat,"['revenues', 'estimates', 'earnings revenues', 'beat', 'earnings beat', 'q1 earnings', 'q2 earnings', 'revenue estimates', 'q4 earnings', 'earnings revenue']","['__COMPANY__ __TICKER__ Q3 Earnings and Revenues Beat Estimates', '__COMPANY__ __TICKER__ Q2 Earnings and Revenues Beat Estimates', '__COMPANY__ __TICKER__ Q1 Earnings and Revenues Beat Estimates']"
18,310,18_today_today shares_falling today_higher today,"['today', 'today shares', 'falling today', 'higher today', 'stock today', 'today stock', 'falling', 'popped', 'shares', 'fell']","['Why __COMPANY__ Stock Is Falling Today', 'Why Are __COMPANY__ and __COMPANY__ Falling Today?', 'Why __COMPANY__ Was Up 6.8% Today']"
19,283,19_market opening_opening bell_opening_ring nasdaq,"['market opening', 'opening bell', 'opening', 'ring nasdaq', 'ring', 'bell', 'nasdaq stock', 'stock market', 'bell celebration', 'celebration']","['Newmark Group, Inc. ( __TICKER__ ) to Ring The Nasdaq Stock Market Opening Bell in Celebration of Its IPO', 'Match Group, Inc. ( __TICKER__ ) to Ring The Nasdaq Stock Market Opening Bell in Celebration of IPO', 'Five Below, Inc. ( __TICKER__ ) to Ring The Nasdaq Stock Market Opening Bell']"
20,280,20_settle_case_laundering_pay,"['settle', 'case', 'laundering', 'pay', 'money laundering', 'court', 'fined', 'penalty', 'french', 'madoff']","['__TICKER__ to Pay Nearly $1 Billion to Settle French Tax Case', '__TICKER__ Group to Pay $511M to Settle Credit Suisse Tax Evasion Case', '__TICKER__ to pay $511m to settle Credit Suisse tax evasion case']"
21,258,21_premarket_rise premarket_fall premarket_fall,"['premarket', 'rise premarket', 'fall premarket', 'fall', 'rise', 'falls', 'tesla', 'boeing', 'apple', 'gamestop']","['Apple, American Airlines Rise Premarket; __COMPANY__ Falls', '__COMPANY__ , __COMPANY__ rise premarket; Tesla, Apple, Boeing fall', '__COMPANY__ , Exxon rise premarket; __COMPANY__ , __COMPANY__ , Tesla fall']"
22,255,22_moody_ratings_assigns_moody announces,"['moody', 'ratings', 'assigns', 'moody announces', 'moody assigns', 'periodic review', 'completion periodic', 'periodic', 'review ratings', 'announces completion']","[""__COMPANY__ (Sydney Branch) -- Moody's announces completion of a periodic review of ratings of __COMPANY__"", ""__COMPANY__ Holdings (U.S.A.), Inc. -- Moody's announces completion of a periodic review of ratings of __COMPANY__ Bank (The)"", ""__COMPANY__ Bank, Ltd. -- Moody's announces completion of a periodic review of ratings of __COMPANY__ , Inc.""]"
23,248,23_credit suisse_suisse_credit_swiss,"['credit suisse', 'suisse', 'credit', 'swiss', 'switzerland', 'update credit', 'rescue', 'suisse loses', 'suisse shares', 'takeover']","[""RPT-FOCUS-Switzerland's secretive Credit Suisse rescue rocks global finance"", ""FOCUS-Switzerland's secretive Credit Suisse rescue rocks global finance"", ""Switzerland's secretive Credit Suisse rescue rocks global finance""]"
24,248,24_valuation_bull day_corporation_quant score,"['valuation', 'bull day', 'corporation', 'quant score', 'assessing', 'according', 'funds bullish', 'assessing valuation', 'evaluating valuation', 'corporation best']","['__TICKER__ Group (SWX:UBSG): Assessing Valuation After Recent Share Price Gains', '__COMPANY__ Corporation __TICKER__ : Among the Top Dividend Stocks to Buy According to Hedge Funds', '__COMPANY__ Inc. __TICKER__ : Among the Top Dividend Stocks to Buy According to Hedge Funds']"
25,240,25_nasdaq launches_technology_nasdaq_surveillance,"['nasdaq launches', 'technology', 'nasdaq', 'surveillance', 'launches', 'market technology', 'smarts', 'agreement nasdaq', 'nasdaq completes', 'market surveillance']","['Shanghai Futures Exchange Launches New Market Surveillance Platform Powered by Nasdaq’s SMARTS', 'Nasdaq to Provide SMARTS Market Surveillance Technology to Nigerian Stock Exchange', 'The Nigerian Stock Exchange Goes Live with Nasdaq SMARTS Market Surveillance Technology']"
26,238,26_grow buy_expected grow_earnings expected_great momentum,"['grow buy', 'expected grow', 'earnings expected', 'great momentum', 'buy buy', 'momentum stock', 'buy', 'grow', 'expected', 'right buy']","['__COMPANY__ Chase &amp; Co. __TICKER__ Earnings Expected to Grow: Should You Buy?', 'Blackstone Inc. __TICKER__ Earnings Expected to Grow: Should You Buy?', '__COMPANY__ __TICKER__ Earnings Expected to Grow: Should You Buy?']"
27,234,27_banks_big banks_big_stress,"['banks', 'big banks', 'big', 'stress', 'biggest banks', 'stress test', 'test', 'banks big', 'banks face', 'stress tests']","['Biggest US Banks Boost Payouts After Lighter Fed Stress Test', 'The biggest US banks pass another Fed stress test, boosting case for looser capital rules', 'Big banks pass Fed stress test as they fight stricter capital rules']"
28,221,28_profit falls_profit_falls_profit drops,"['profit falls', 'profit', 'falls', 'profit drops', 'profits', 'update profit', 'profits drop', 'misses', 'dealmaking', 'slump']","['UPDATE 2- __COMPANY__ profit falls on higher loan-loss reserves, weak dealmaking activity', '__COMPANY__ Third-Quarter Profit Falls on Higher Expenses', '__COMPANY__ Profit Falls 8%']"
29,214,29_market chatter_chatter_update market_market,"['market chatter', 'chatter', 'update market', 'market', 'update', 'chatter chase', 'chatter banco', 'chatter blackrock', 'billion debt', 'talks']","['Update: Market Chatter: Apple in Talks With __COMPANY__ and Synchrony for Credit Card Partnership', 'Update: Market Chatter: __COMPANY__ in Talks With Apple to Take Over Credit Card Program From Goldman', ""Update: Market Chatter: __TICKER__ 's German Wealth Management Unit Draws Interest From __COMPANY__ , __TICKER__""]"
30,213,30_aramco_blackrock_stake_jio,"['aramco', 'blackrock', 'stake', 'jio', 'infrastructure', 'gas', 'pipelines', 'global infrastructure', 'saudi', 'blackrock led']","['Saudi Aramco drops __COMPANY__ on gas pipelines deal -sources', 'BlackRock mulls selling stake in Saudi Aramco gas pipelines, Bloomberg News reports', 'BlackRock considers selling Saudi Aramco gas pipelines stake - report']"
31,213,31_press release_sanofi_press_release sanofi,"['press release', 'sanofi', 'press', 'release sanofi', 'phase', 'disease', 'fda', 'treatment', 'release', 'multiple sclerosis']","['Press Release: Sanofi’s rilzabrutinib earns orphan designation in the EU for IgG4-related disease', 'Quantum Biopharma Announces Positive Results of the Clinical Study Report (CSR) for the Phase 1 Multiple Ascending Dose (MAD) Clinical Trial of Experimental Multiple Sclerosis Drug Lucid-21-302 (Lucid- __TICKER__ )', 'Press Release: Sanofi’s Teizeild recommended for EU approval by the CHMP for patients with stage 2 type 1 diabetes']"
32,210,32_market closing_closing bell_closing_ring nasdaq,"['market closing', 'closing bell', 'closing', 'ring nasdaq', 'ring', 'bell', 'nasdaq stock', 'stock market', 'corporation ring', 'nasdaq']","['Northern Trust Corporation ( __TICKER__ ) to Ring The Nasdaq Stock Market Closing Bell', 'Incyte Corporation ( __TICKER__ ) to Ring The Nasdaq Stock Market Closing Bell', 'PayPal Holdings, Inc. ( __TICKER__ ) to Ring The Nasdaq Stock Market Closing Bell']"
33,207,33_stock buy_buy according_according_amp best,"['stock buy', 'buy according', 'according', 'amp best', 'stock invest', 'best', 'dividend stock', 'according hedge', 'corporation best', 'best bank']","['Is __COMPANY__ &amp; Company __TICKER__ the Best Bank Dividend Stock to Buy Right Now?', 'Is __COMPANY__ Chase &amp; Co. __TICKER__ the Best Very Cheap Stock to Buy According to Billionaires?', 'Is __COMPANY__ &amp; Company __TICKER__ the Best Dividend Stock to Buy According to Billionaires?']"
34,206,34_berkshire_buffett_warren buffett_warren,"['berkshire', 'buffett', 'warren buffett', 'warren', 'berkshire hathaway', 'hathaway', 'buffett berkshire', 'stake', 'sold', 'buffett sold']","['Warren Buffett’s Berkshire Hathaway Sells More __COMPANY__ Stock. Here’s How Much It Has Left.', ""Warren Buffett's Berkshire Hathaway trims __COMPANY__ stake below 10%"", 'Warren Buffett’s Berkshire Hathaway Sells More __COMPANY__ Stock']"
35,202,35_market today_500 nasdaq_today dow_dow amp,"['market today', '500 nasdaq', 'today dow', 'dow amp', 'today', 'dow', 'amp 500', 'nasdaq futures', '500', 'stock market']","['Stock market today: Dow, S&amp;P 500, Nasdaq futures slip as Tesla falls after earnings', 'Stock market today: Dow, S&amp;P 500, Nasdaq futures rise as Wall Street looks to big bank earnings', 'Stock market today: Dow, S&amp;P 500, Nasdaq futures take a breather']"
36,202,36_cboe_cboe global_global markets_markets present,"['cboe', 'cboe global', 'global markets', 'markets present', 'options', 'global', 'markets', 'launch', 'indices', 'vix']","['Cboe Global Markets to Present at __COMPANY__ Global Financial Services Conference Tuesday, June 1', 'Cboe Global Markets to Present at the __COMPANY__ Global Financial Services Conference on September 8', 'Cboe Global Markets to Present at the __COMPANY__ Global Financial Services Conference on September 9']"
37,201,37_hires_appoints_advisor team_elhedery,"['hires', 'appoints', 'advisor team', 'elhedery', 'chief', 'officer', 'advisor', 'team', 'tucker', 'hires financial']","['__TICKER__ hires $700 million financial advisor team in Manchester, NH', '__TICKER__ Hires $700 Million Advisor Team From Merrill Lynch', '__TICKER__ Hires $1.6 Billion Advisor Team From Merrill Lynch']"
38,198,38_insiders_sold_insiders sold_worth stock,"['insiders', 'sold', 'insiders sold', 'worth stock', 'stock possibly', 'possibly', 'weakness', 'possibly signalling', 'signalling', 'potential weakness']","['__COMPANY__ Corporation ( __TICKER__ ) insiders sold US$6.0m worth of stock, possibly signalling a downtrend', 'Insiders at __COMPANY__ Inc. ( __TICKER__ ) sold US$4.6m worth of stock, possibly indicating weakness in the future', '__COMPANY__ Inc. ( __TICKER__ ) insiders sold US$2.6m worth of stock, possibly signalling a downtrend']"
39,197,39_cramer_jim cramer_jim_cramer says,"['cramer', 'jim cramer', 'jim', 'cramer says', 'says jim', 'cramer jim', 'higher jim', 'says', 'cramer blackstone', 'cramer group']","['Jim Cramer Says If You Don’t Own Any Bank Stocks “You Can Buy __COMPANY__ ”', 'Jim Cramer Says He’s “Very Happy” With __COMPANY__', 'Jim Cramer Says You Should Buy BlackRock __TICKER__']"
40,196,40_content advisory_nyse content_content_advisory pre,"['content advisory', 'nyse content', 'content', 'advisory pre', 'market update', 'pre market', 'nyse', 'advisory', 'pre', 'update']","['NYSE CONTENT ADVISORY: PRE-MARKET UPDATE FOR FEBRUARY 4th', 'NYSE Content Advisory: Pre-Market update + __COMPANY__ beats earnings estimates', 'NYSE Content Advisory: Pre-Market update']"
41,193,41_floating rate_floating_notes_redemption,"['floating rate', 'floating', 'notes', 'redemption', 'rate senior', 'senior notes', 'announces redemption', 'senior', 'fixed floating', '000 000']","['__COMPANY__ Announces Redemption of Floating Rate Senior Notes Due 2024', '__COMPANY__ Announces Redemption of Floating Rate Senior Notes Due May 2024', '__COMPANY__ Announces Redemption of Floating Rate Senior Notes Due 2025']"
42,189,42_momentum stock_dividend stock_great_great dividend,"['momentum stock', 'dividend stock', 'great', 'great dividend', 'strong momentum', 'stock long', 'momentum', 'makes', 'stock portfolio', 'attention today']","['Why __COMPANY__ __TICKER__ is a Top Momentum Stock for the Long-Term', 'Why __COMPANY__ __TICKER__ is a Great Dividend Stock Right Now', 'This is Why __COMPANY__ __TICKER__ is a Great Dividend Stock']"
43,189,43_grant_donates_foundation_awards,"['grant', 'donates', 'foundation', 'awards', 'awards million', 'homeownership', 'nonprofits', 'support', 'relief', 'million']","['__COMPANY__ Foundation Awards $7.5 Million to LISC NY to Expand Homeownership for Families of Color', '__COMPANY__ Foundation Awards $7.5 Million to LISC Virginia To Expand Homeownership for Families of Color', '__COMPANY__ Foundation Awards $7.5 Million to LISC Houston to Expand Homeownership for Families of Color']"
44,187,44_blackstone_blackstone buy_blackstone buys_billion blackstone,"['blackstone', 'blackstone buy', 'blackstone buys', 'billion blackstone', 'deal blackstone', 'acquire', 'blackstone real', 'majority stake', 'blackstone acquire', 'acquires']","['Blackstone Acquires Majority Stake in Spanx', 'Blackstone to Acquire Majority Stake in Spanx in $1.2 Billion Deal', 'Affiliates of Blackstone Real Estate to Acquire PS Business Parks, Inc. for $7.6 Billion']"
45,185,45_results reports_reports quarter_results_quarter,"['results reports', 'reports quarter', 'results', 'quarter', 'reports', 'financial results', 'reports second', 'quarter 2025', 'second quarter', 'reports fourth']","['__COMPANY__ Reports Third Quarter 2025 Financial Results', '__COMPANY__ Reports First Quarter 2025 Financial Results', '__COMPANY__ Reports Second Quarter 2025 Financial Results']"
46,185,46_earnings transcript_transcript_2023 earnings_2021 earnings,"['earnings transcript', 'transcript', '2023 earnings', '2021 earnings', '2022 earnings', 'transcript group', 'q4 2022', 'q1 2024', 'q3 2023', 'transcript blackrock']","['__COMPANY__ Inc. ( __TICKER__ ) Q4 2023 Earnings Call Transcript', '__COMPANY__ ( __TICKER__ ) Q3 2023 Earnings Call Transcript', '__COMPANY__ __TICKER__ Q3 2023 Earnings Call Transcript']"
47,185,47_mutual funds_mutual_returns_invesco mutual,"['mutual funds', 'mutual', 'returns', 'invesco mutual', 'blackrock mutual', 'funds', 'funds buy', 'templeton mutual', 'returns blackrock', 'bond funds']","['4 Must-Have Franklin Templeton Mutual Funds For May', '3 Blackrock Mutual Funds to Buy Now for 2024', '3 Top Franklin Templeton Mutual Funds That You Should Buy']"
48,185,48_ipo_files_files ipo_backed,"['ipo', 'files', 'files ipo', 'backed', 'billion ipo', 'seeks billion', 'raise', 'seeks', 'range', 'figma']","['China Trucking Startup Said to Raise $1.6 Billion in U.S. IPO', 'JD Logistics Poised to Raise $3.2 Billion in Hong Kong IPO', 'JD Logistics Seeks Up to $3.4 Billion in Hong Kong IPO']"
49,181,49_crypto_blockchain_crypto trading_bitcoin,"['crypto', 'blockchain', 'crypto trading', 'bitcoin', 'clients', 'custody', 'stablecoin', 'crypto custody', 'trading trade', 'ethereum']","[""__COMPANY__ Plans to Launch Crypto Trading on E*Trade by 2026. Here Are the 3 Coins It's Targeting."", '__COMPANY__ Plans to Launch Crypto Custody Services in 2026: CNBC', '__COMPANY__ Plans to Offer Crypto Trading to E*Trade Clients']"
50,178,50_funds right_hedge funds_hedge_right,"['funds right', 'hedge funds', 'hedge', 'right', 'funds', 'right piling', 'piling', 'funds illusioned', 'illusioned', 'expert investors']","['Were Hedge Funds Right About Piling Into __COMPANY__ __TICKER__ ?', 'Were Hedge Funds Right About __COMPANY__ Inc. __TICKER__ ?', 'Were Hedge Funds Right About __COMPANY__ __TICKER__ ?']"
51,166,51_dow futures_futures_dow_futures rise,"['dow futures', 'futures', 'dow', 'futures rise', 'earnings dow', 'jones futures', 'futures tick', 'focus dow', 'tick', 'pts']","['Dow futures move higher, earnings in focus', 'Dow Futures Tick Higher As Earnings Season Heats Up', 'Dow futures tick higher, earnings in focus']"
52,165,52_rupee_india_indian_inclusion,"['rupee', 'india', 'indian', 'inclusion', 'index inclusion', 'indian bonds', 'index', 'bonds', 'bond index', 'record low']","['India rupee rally on __COMPANY__ index inclusion dampened by importers', ""JP Morgan's inclusion of Indian bonds to boost rupee amid rising oil prices"", 'Indian bonds to stimulate foreign investment, strengthen rupee with __COMPANY__ index inclusion']"
53,164,53_brookfield_billion brookfield_origin_reinsurance,"['brookfield', 'billion brookfield', 'origin', 'reinsurance', 'brookfield reinsurance', 'american equity', 'business partners', 'brookfield business', 'update brookfield', 'origin energy']","['UPDATE 1-Brookfield reinsurance unit to buy American National for $5 bln - WSJ', 'Brookfield reinsurance unit to buy American National for $5.1 billion', 'UPDATE 2-Brookfield Reinsurance to buy annuities provider American Equity for $4.3 bln']"
54,163,54_ping_hong kong_kong_hong,"['ping', 'hong kong', 'kong', 'hong', 'asia', 'canary wharf', 'canary', 'wharf', 'asia business', 'brick']","['__TICKER__ to move global HQ from Canary Wharf to central London', '__TICKER__ to review Canary Wharf HQ and consider new London base', 'UPDATE 3- __TICKER__ to review Canary Wharf tower HQ, consider new London base']"
55,159,55_institutional_ownership_institutional investors_favorite,"['institutional', 'ownership', 'institutional investors', 'favorite', 'institutional owners', 'favoured', 'favoured institutional', 'owners hold', 'owners', 'largely controlled']","['With 87% institutional ownership, The __COMPANY__ Corporation ( __TICKER__ ) is a favorite amongst the big guns', 'With 88% institutional ownership, __TICKER__ Group Inc. ( __TICKER__ ) is a favorite amongst the big guns', 'With 88% institutional ownership, The __COMPANY__ Corporation ( __TICKER__ ) is a favorite amongst the big guns']"
56,159,56_better value_better_vs_value,"['better value', 'better', 'vs', 'value', 'value option', 'vs stock', 'stock better', 'stock value', 'stock right', 'value stock']","['__TICKER__ vs. BSAC: Which Stock Is the Better Value Option?', '__TICKER__ or __TICKER__ : Which Is the Better Value Stock Right Now?', '__TICKER__ vs. __TICKER__ : Which Stock Is the Better Value Option?']"
57,154,57_return office_employees_office_staff,"['return office', 'employees', 'office', 'staff', 'return', 'travel', 'workers', 'abortion', 'memo', 'abortions']","['__COMPANY__ asks U.S. employees to return to office from March 21 - memo', ""No More WFH: __COMPANY__ Asks Employees To Return To Office 5 Days A Week — And It's Not Alone"", '__COMPANY__ asks employees to return to office four days a week by September']"
58,154,58_bank stocks_best bank_stocks buy_bank,"['bank stocks', 'best bank', 'stocks buy', 'bank', 'cheap bank', 'prospering', 'stocks', 'banks industry', 'foreign', 'undervalued bank']","['5 of the Best Bank Stocks to Buy Now', '3 Best Bank Stocks to Buy Now', '3 Top Bank Stocks to Buy in May']"
59,154,59_companies_companies world_world_15 biggest,"['companies', 'companies world', 'world', '15 biggest', 'biggest', 'valuable', '15', 'world 15', '25 biggest', '20']","['15 Biggest Asset Management Companies in the World', '15 Biggest Holding Companies in the World', '20 Most Valuable IT Companies In The World']"
60,152,60_portfolio invested_warren buffett_warren_invested,"['portfolio invested', 'warren buffett', 'warren', 'invested', 'billion portfolio', 'buffett', 'stocks warren', 'portfolio', 'invested stocks', 'buffett portfolio']","[""59% of Warren Buffett's Portfolio Is Invested in Just 3 Stocks"", ""65% of Warren Buffett's Portfolio Is Invested in These 4 Stocks"", ""80% of Warren Buffett's Portfolio Is Invested in These 7 Stocks""]"
61,152,61_nasdaq welcomes_market nasdaq_welcomes_nasdaq stock,"['nasdaq welcomes', 'market nasdaq', 'welcomes', 'nasdaq stock', 'nasdaq', 'stock market', 'limited nasdaq', 'photo', 'photo release', 'market']","['Photo Release -- Nasdaq Welcomes Aimmune Therapeutics, Inc. ( __TICKER__ ) to The Nasdaq Stock Market', 'Photo Release -- Nasdaq Welcomes REGENXBIO Inc. to The Nasdaq Stock Market', 'Photo Release -- Nasdaq Welcomes PayPal Holdings, Inc. to The Nasdaq Stock Market']"
62,151,62_amp 500_500_500 slips_amp,"['amp 500', '500', '500 slips', 'amp', '500 climbs', 'tech', 'climbs', 'slips', '500 cuts', 'cuts losses']","['S&amp;P 500 Climbs as Consumer Stocks Shine', 'S&amp;P 500 Cuts Losses as Tech, Energy Gain', 'S&amp;P 500 Slips as Bank Stocks Slide']"
63,149,63_china_xi_china vows_china economy,"['china', 'xi', 'china vows', 'china economy', 'stimulus', 'vows', 'economy', 'tariffs', 'tariffs china', 'china gdp']","['China’s Growth Momentum Offers Xi Rare Window to Fight Deflation', 'China Vows to Ready Emergency Plans, Signals Calm Amid Trade War', 'Xi Meets US CEOs, Seeking to Boost Confidence in China’s Economy']"
64,149,64_gold_gold prices_gold futures_gold edges,"['gold', 'gold prices', 'gold futures', 'gold edges', 'gold hits', 'haven', 'gold rises', 'haven demand', 'gold falls', 'rate cut']","['Gold Edges Higher on US Rate-Cut Bets and Dollar Weakness', 'Gold Futures Trade Near Record High on Rate-Cut Hopes', 'Gold prices jump on safe-haven demand and Fed rate-cut hopes']"
65,148,65_know_know blackrock_need know_know chase,"['know', 'know blackrock', 'need know', 'know chase', 'stock moves', 'know blackstone', 'gains know', 'need', 'market gains', 'broader']","['__COMPANY__ __TICKER__ Falls More Steeply Than Broader Market: What Investors Need to Know', 'BlackRock __TICKER__ Stock Sinks As Market Gains: What You Should Know', '__COMPANY__ Chase &amp; Co. __TICKER__ Stock Sinks As Market Gains: What You Should Know']"
66,148,66_aum_aum rises_july aum_favorable,"['aum', 'aum rises', 'july aum', 'favorable', 'favorable markets', 'rises', 'october aum', 'rises favorable', 'sequentially', 'inflows']","[""Invesco's (IVZ) July AUM Rises on Favorable Markets, Inflows"", ""Franklin's __TICKER__ July AUM Rises 1.4% on Favorable Markets"", ""Franklin's __TICKER__ July AUM Rises 3.6% on Favorable Markets""]"
67,145,67_closes_brookfield closes_announces closing_final close,"['closes', 'brookfield closes', 'announces closing', 'final close', 'fund', 'closes billion', 'close', 'partners closes', 'management closes', 'equity fund']","['Brookfield Closes $4 Billion Commercial Real Estate Debt Fund', 'Brookfield Closes US$9 Billion Global Private Equity Fund', 'Brookfield Closes US$4 Billion Private Equity Fund']"
68,145,68_russia_russian_exit_exposure russia,"['russia', 'russian', 'exit', 'exposure russia', 'putin', 'exposure', 'russia consumer', 'wind', 'russian debt', 'exit russia']","['__COMPANY__ to wind down Russia business', ""Putin green-lights __COMPANY__ ’s Russia exit as part of bank's worldwide reorganization"", '__COMPANY__ cuts credit exposure to Russia']"
